x,y,z,time_diff
-0.447,4.386,8.405,24
-0.095,5.419,8.882,15
-0.309,5.519,7.537,16
-0.376,4.824,9.086,24
-0.428,4.527,8.539,15
-0.693,5.419,6.775,24
-0.024,5.084,6.523,15
-0.186,4.848,6.606,24
-0.712,4.815,8.367,15
-0.274,5.531,8.903,24
-0.807,4.898,6.08,23
-0.117,4.486,8.486,16
-0.074,4.984,8.379,23
-0.214,5.505,8.267,16
-0.169,4.879,9.034,23
-0.164,5.072,8.715,16
-0.705,4.603,7.28,23
-0.595,5.034,7.596,16
-0.476,4.615,7.499,23
-0.026,4.81,8.07,16
-0.114,5.438,8.389,23
-0.35,5.65,8.641,16
-0.317,4.677,8.158,24
-0.3,4.867,7.789,15
0.151,5.088,7.777,24
0.042,5.067,8.77,15
-0.897,4.448,7.891,24
-0.864,4.915,7.396,15
-0.486,5.479,7.082,24
-0.309,4.796,7.187,15
-0.109,4.884,7.977,24
-0.031,5.81,7.039,15
-0.162,4.241,9.251,24
-0.195,4.672,7.156,15
-0.159,5.215,8.172,24
-0.179,5.16,6.684,16
0.404,4.774,7.163,23
-0.328,5.36,7.663,23
-0.512,4.831,9.743,16
-0.145,4.584,7.653,23
-0.295,4.865,7.777,16
-0.183,5.226,7.801,24
-0.059,4.9,7.858,15
-0.593,5.35,6.88,24
-0.393,5.091,8.01,15
-0.043,4.912,7.934,24
-0.624,5.053,7.839,15
-0.445,5.31,8.941,24
-0.269,4.622,8.263,15
-0.243,5.043,8.132,24
-0.05,5.579,8.615,15
0.197,4.615,7.82,24
-0.25,4.943,7.206,15
-0.381,4.943,8.325,24
-0.012,4.574,8.11,16
0.023,4.998,7.917,23
0.082,5.072,8.441,16
0.151,5.05,7.837,23
-0.333,5.196,7.579,16
0.42,5.034,7.963,23
0.023,4.886,8.896,16
0.149,5.234,8.239,23
0.173,5.065,7.177,16
-0.059,4.45,7.687,23
-0.421,5.174,8.472,24
0.116,4.869,6.915,15
-0.074,4.877,6.961,24
-0.421,5.131,7.941,15
-0.826,5.122,6.944,24
-0.105,5.138,7.375,15
-0.49,5.015,8.653,24
-0.152,4.986,8.065,15
-0.983,4.672,6.701,24
-0.664,4.903,7.203,16
-0.7,4.903,6.825,23
-0.236,5.305,6.913,16
-0.114,4.698,9.393,23
0.451,5.138,8.696,16
-0.145,5.165,7.258,23
0.016,4.674,7.632,16
0.028,4.667,8.275,23
