,ax,ay,az,gx,gy,gz,time_diff,timestamp_x,gz_raw,theta,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time,timestamp_y
122,-13382.0,-838.0,7318.0,-29.0,14.0,0.209756097561,0.101997852325,1449015478.38,-12.0,-3.78050752907,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
123,-13210.0,-846.0,7512.0,-35.0,8.0,-1.13170731707,0.108935117722,1449015478.49,-69.0,-3.83072396139,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
124,-13412.0,-1364.0,7234.0,-29.0,14.0,-1.13170731707,0.110214948654,1449015478.6,-34.0,-3.95545502523,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
125,-13344.0,-914.0,7310.0,-28.0,14.0,-0.948780487805,0.107388019562,1449015478.71,-7.0,-4.06716475778,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
126,-13364.0,-1122.0,7374.0,-29.0,14.0,0.331707317073,0.106491088867,1449015478.82,-31.0,-4.10002115471,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
127,-13352.0,-1140.0,7374.0,-28.0,16.0,0.331707317073,0.121834039688,1449015478.94,-10.0,-4.05960791227,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
128,-13294.0,-1464.0,7428.0,-24.0,17.0,1.42926829268,0.106257915497,1449015479.05,8.0,-3.96604911351,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
129,-13388.0,-742.0,7292.0,-22.0,12.0,6.30731707317,0.105712890625,1449015479.15,113.0,-3.55712071221,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
130,-13390.0,-998.0,7348.0,-22.0,15.0,7.83170731707,0.107167005539,1449015479.26,88.0,-2.79950225964,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
131,-13426.0,-1364.0,7370.0,-20.0,5.0,14.6,0.102498054504,1449015479.36,229.0,-1.64989908003,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
132,-13364.0,-236.0,7336.0,-20.0,-1.0,14.6,0.103562116623,1449015479.46,224.0,-0.137892177338,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
133,-13460.0,482.0,7360.0,-23.0,1.0,14.356097561,0.105046987534,1449015479.57,153.0,1.38298323242,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
134,-13322.0,-32.0,7416.0,-19.0,8.0,14.356097561,0.108702898026,1449015479.68,220.0,2.94353264163,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
